"","X","PROGRAM.TYPE","PROGRAM","SITE.NAME","BOROUGH...COMMUNITY","AGENCY","Contact.Number","Grade.Level...Age.Group","Location.1","Postcode","Latitude","Longitude"
"337",337,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Sunnyside Community Services, Inc.","Queens","Sunnyside Community Service, Inc.","718.784.6173 ext. 429","16 to 21","43 31 39th Street",11104,40.74519,-73.925909
"338",338,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","NEW YORK HARBOR SCHOOL (K551)","Brooklyn","Citizens Advice","(212) 748-8594"," High School","400 IRVING AVENUE",11237,40.69697,-73.910791
"339",339,"After-School Programs","Out of School Time","P.S. 1 P.S. 1 - BERGEN SCHOOL","Brooklyn","SCO Family of Services","(718) 788-3500","Elem/MS","309 47th Street",11220,40.649042,-74.012289
"340",340,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 214 CADWALLADER COLDEN SC","Queens","Police Athletic League, Inc.","(718) 353-8457","OST","31 15 140 STREET",11354,40.770387,-73.828617
"341",341,"After-School Programs","Out of School Time","Edith & Carl Marks MS","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","(718) 331-6800","Middle School","7802 Bay Parkway",11214,40.606369,-73.989235
"342",342,"After-School Programs","Out of School Time","04M435 MANHATTAN CENTER FOR SC","Manhattan","The Childrens Aid Society","(212) 876-6268","High School","280 Pleasant Avenue",10029,40.794476,-73.933565
"343",343,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 200 BENSON SCHOOL","Brooklyn","YMCA of Greater New York/Prospect Park","(917) 842-7569","OST","1940 BENSON AVENUE",11214,40.603188,-74.001408
"344",344,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Chinese American Planning Council","Queens","Chinese American Planning Council","212.941.0920","High School","136 18 39th Avenue",11354,40.76033,-73.829831
"345",345,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Make the Road New York","Brooklyn","Make the Road New York","718-418-7690 X 205","Adult","391 Grove Street
Program Site ",11237,40.700955,-73.913163
"346",346,"After-School Programs","Teen Action Program","JHS 072 Catherine and Count Basie","Queens","The Child Center of NY","718.322.4953","13 to 21","133 25 Guy R Brewer Boulevard",11434,40.673769,-73.775951
"347",347,"Family Support,NDA Programs","Health Stat Initiative","Northern Manhattan Improvement Corporation","New York","Northern Manhattan Improvement Corporation","212.822.8344","All Ages","76 Wadsworth Ave",10033,40.847012,-73.93704
"348",348,"Family Support,NDA Programs"," Housing","Mothers on the Move","Bronx","Grand Street Settlement","(646) 459-3002","Adults","928 Intervale Ave",10459,40.820063,-73.896742
"349",349,"After-School Programs","Out of School Time","HS For Teaching Arts","Queens","Samuel Field YM & YWHA, Inc.","(718) 479-3920","High School","74 20 Commonwealth Boulevard",11426,40.746088,-73.727535
"350",350,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Clinton Senior Housing","Bronx","Project Home","(718) 542-0006","Seniors","2070 Clinton Avenue",10457,40.847236,-73.888101
"351",351,"Jobs & Internships","Young Adult Internship Program","Wildcat Service Corporation","Bronx","Wildcat Service Corporation","718.617.1378","16 to 24","647 Bryant Avenue",10474,40.81319,-73.885181
"352",352,"After-School Programs","Out of School Time","P.S. 130 PARKSIDE SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 828-6377","Elementary","70 OCEAN PARKWAY",11218,40.648884,-73.975607
"353",353,"Family Support,NDA Programs"," Housing","Citizens Advice Bureau","Bronx","Castle Hill School (JHS 127)","(718) 293-0727","Adults","1477 Townsend Avenue",10452,40.841504,-73.915639
"354",354,"After-School Programs","Out of School Time","Italian American Civil","Brooklyn","Italian American Civil Rights League (Italian American Civil","(718) 642-2180","High School","1460 Pennsylvania Avenue",11239,40.646068,-73.879786
"355",355,"After-School Programs","Teen Action Program","IS 061 Leonardo Da Vinci","Queens","New York Junior Tennis League","718.786.7110 ext. 8126","13 to 21","98 50 50th Avenue",11368,40.742668,-73.863307
"356",356,"NDA Programs,Senior Programs,Older Adult Program","Seniors","BCA Sunset Park Asian Senior Center","Brooklyn","MS 216","(718) 438-0008","Seniors","5010 8th Avenue",11220,40.640998,-74.003848
"357",357,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 207 ELIZABETH LEARY SCHOOL","Brooklyn","Bergen Beach Youth Organization","(917) 533-3724","Elementary","4011 FILLMORE AVENUE",11234,40.613353,-73.930129
"358",358,"After-School Programs","Beacon","MS 117","Bronx","Community Association Progressive Dominicans","718.466.1806","6 and up","1865 Morris Avenue",10453,40.848516,-73.908427
"359",359,"After-School Programs","Teen Action Program","Jewish Institute of Queens","Queens","Jewish Institute of Queens","718.426.9369 or 646.670.8952","13 to 21","60 05 Woodhaven Boulevard",11373,40.731256,-73.871561
"360",360,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Queens","Queens","Chinese American Planning Council - Queens ","718-358-8899  x132","14 to 24","136 18 39th Avenue
flr ",11354,40.76033,-73.829831
"361",361,"After-School Programs","Out of School Time","Arrow","Queens","Brooklyn Center For Urban Environment","(718) 788-8500","Elem/MS","35 30 35th Street",11106,40.756073,-73.925767
"362",362,"After-School Programs","Out of School Time","Nazareth Regional HS","Brooklyn","Police Athletic League, Inc.","(718) 763-1100","High School","475 57th Street",11220,40.64162,-74.015094
"363",363,"After-School Programs","Out of School Time","Saratoga Inn","Queens","Homes for the Homeless","(718) 244-0670","Elementary","175 15 Rockaway Boulevard",11434,40.657786,-73.77031
"364",364,"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","The Door","Manhattan","The Door - A Center of Alternatives","212-941-9090 ext. 3280","20-May","121 6th Avenue",10013,40.723903,-74.00469
"365",365,"NDA Programs,Senior Programs,Older Adult Program","Seniors","International Tower for Seniors","Queens","JHS 142 JOHN PHILIP SOUSA (X142)","(800) 624-8474","Seniors","90 20 170th Street",11432,40.708578,-73.790579
"366",366,"After-School Programs","Out of School Time","P.S. 36 ST. ALBANS SCHOOL","Queens","Charosa Foundation Corporation","(718) 723-1400","Elementary","187 01 Foch Boulevard",11412,40.690828,-73.763907
"367",367,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Brooklyn Job Corps Academy","Brooklyn","Arbor Employment and Training","718.623.4031","16 to 21","585 DeKalb Avenue",11205,40.691223,-73.952765
"368",368,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","PS 173","New York","Brooklyn Housing & Family Services","(212) 923-7766"," High School","306 Fort Washington Avenue",10033,40.845469,-73.940468
"369",369,"After-School Programs","Out of School Time","Mosholu Center 1 H.S.","Bronx","Mosholu Montefiore Community Center, Inc.","(718) 882-4000","High School","3450 Dekalb Avenue",10467,40.881486,-73.881226
"370",370,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4812 9th Avenue",11220,40.640545,-74.000731
"371",371,"After-School Programs","Out of School Time","P.S. 217 COL. DAVID MARCUS SCHOOL","Brooklyn","Flatbush Development Corporation","(718) 859-3800","Elementary","1100 NEWKIRK AVENUE",11230,40.63398,-73.966558
"372",372,"Jobs & Internships,Youth Employment","Summer Youth Employment ","Youth Education Thru Sports","Manhattan","New York City Mission Society","212-368-8400","14 to 24","646 Malcolm X Blvd",10037,40.818813,-73.937414
"373",373,"NDA Programs,Senior Programs,Older Adult Program","Seniors","Vladeck Cares","New York","Stryckers Bay Neighborhood Council, Inc.","(212) 766-9200","Seniors","351 Madison Ave",10017,40.754503,-73.978026
"374",374,"Family Support,NDA Programs","Fatherhood Initiative","The New York Society for the Prevention of Cruelty to Children","New York","The New York Society for the Prevention of Cruelty to Children","212.233.5500","16 to 24","161 William Street",10038,40.710059,-74.005955
"375",375,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Pan American International High School (PAIHS)","Bronx","Citizens Advice Bureau","(718) 732-7523"," High School","1300 Boynton Avenue",10472,40.831601,-73.878912
"376",376,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","BROOKLYN EXCELSIOR CHARTER (K731)","Brooklyn","SEBCO St Barnabas Senior Housing","(212) 630-9680","Middle School","856 QUINCY STREET",11221,40.689842,-73.925506
"377",377,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","2600 Ocean Avenue",11229,40.598158,-73.951186
"378",378,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 56 LOUIS DE SARIO SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","OST","250 KRAMER AVENUE",10309,40.542246,-74.214002
"379",379,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Chinese-American Planning Council, Inc/Brooklyn Branch","Brooklyn","Chinese American Planning Council","212.941.0920","High School","4101 8th Avenue",11232,40.64607,-73.998544
"380",380,"After-School Programs","Out of School Time","P.S. 150 P.S. 150","Queens","Sunnyside Community Service, Inc.","(718) 392-6365","Elementary","40 01 43rd Avenue",11104,40.745537,-73.923776
"381",381,"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","Brooklyn","Park Slope Women's Shelter","(212) 226-2116"," High School","883 CLASSON AVENUE",11225,40.670349,-73.961695
"382",382,"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 239 P.S. 239","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","OST","1715 Weirfield Street",11385,40.699149,-73.903799
"383",383,"After-School Programs","Out of School Time","Bnos Ahavas Israel","Brooklyn","National Society For Hebrew Day Schools","(718) 252-4446","High School","12 Franklin Avenue",11249,40.699034,-73.958945
"384",384,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 52","New York","Sunset Park Center","(212) 942-0043","Middle School","650 Academy Street",10034,40.866053,-73.924835
"385",385,"After-School Programs","Out of School Time","Brooklyn Prep","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","High School","257 6th Street",11215,40.672411,-73.987711
"386",386,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Yeshiva Kehilath Yakov - Boys","Brooklyn","Yeshiva Kehilath Yakov","(718) 972-2900","OST","4706 10th Avenue",11219,40.640015,-73.997694
"387",387,"After-School Programs","Out of School Time","P.S. 163 FLUSHING HEIGHTS SCHOOL","Queens","New York Junior Tennis League","(347) 417-8189","Elementary","159 01 59th Avenue",11365,40.740565,-73.809131
"388",388,"After-School Programs","Out of School Time","P.S. 2 ALFRED ZIMBERG SCHOOL","Queens","Hellenic American Neighborhood Action Committee (HANAC)","(718) 728-1459","Elementary","75 10 21st Avenue",11370,40.770335,-73.894476
"389",389,"After-School Programs","Out of School Time","I.S. 254","Bronx","Community Association of Progressive Dominicans","(718) 220-8700","Middle School","2452 Washington Avenue",10458,40.858815,-73.890232
"390",390,"After-School Programs","Out of School Time","Harvey Milk HS","Manhattan","Hetrick-Martin Institute, Inc.","(212) 674-2400","High School","2 Astor Place",10003,40.730038,-73.992632
"391",391,"After-School Programs","Out of School Time","I.S. 311 ESSENCE SCHOOL","Brooklyn","SCO Family of Services","(718) 485-5130","Middle School","590 SHEFFIELD AVENUE",11207,40.662326,-73.894441
"392",392,"After-School Programs,Summer Program,Summer Camp","Out of School Time","Flatbush Club (middle school)","Brooklyn","Madison Square Boys & Girls Club","(718) 462-6100","OST","2245 Bedford Avenue",11226,40.649122,-73.955765
"393",393,"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","YWCA of Queens","Queens","YWCA of Queens","718.353.4553","16 to 21","42 07 Parsons Boulevard",11355,40.757857,-73.819077
"394",394,"Jobs & Internships","Young Adult Internship Program","The Child Center of NY","Queens","The Child Center of NY, Inc","347.571.2441","16 to 24","163 18 Jamaica Avenue",11432,40.704799,-73.796524
"395",395,"After-School Programs","Out of School Time","United Community Day Care","Brooklyn","United Community Day Care Center, Inc","(718) 385-1201","Elementary","613 New Lots Avenue",11207,40.664728,-73.886561
"396",396,"After-School Programs","Out of School Time","P.S. 71 FOREST SCHOOL","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","62 85 Forest Avenue",11385,40.711203,-73.905286
"397",397,"After-School Programs","Beacon","IS 232","Brooklyn","Sesame Flyers International Inc.","718.221.8880","6 and up","905 Winthrop Avenue",11203,40.65843,-73.929076
"398",398,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Castle Hill School (JHS 127)","Bronx","SHoP Architects","(212) 652-2812","Middle School","1560 Purdy Street",10462,40.837931,-73.853524
"399",399,"After-School Programs","Out of School Time","BRONX LAB SCHOOL","Bronx","Federation Employment & Guidance Services (FEGS)","(718) 696-3700","High School","800 Gun Hill Road",10467,40.875953,-73.86197
"400",400,"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Brooklyn","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","280 Shepherd Avenue",11208,40.677725,-73.881715
"401",401,"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 88 THE SIDNEY SILVERSTE","Bronx","New Settlement Apartments","(718) 538-8051","OST","1340 Sheridan Avenue",10456,40.837275,-73.913574
"402",402,"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718-943-6325","A parent 16 Years Old or Older ","7802 Bay Parkway",11214,40.606369,-73.989235
"403",403,"After-School Programs","Out of School Time","C.E.S. 55 BENJAMIN FRANKLIN SC","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 681-6227","Elementary","450 SAINT PAULS PLACE",10456,40.836404,-73.905014
"404",404,"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Children's Arts & Science Workshops, Inc.","New York","Children's Arts & Science Workshops, Inc.","212.923.7766","High School","4271 Broadway",10033,40.850456,-73.935609
"405",405,"After-School Programs","Out of School Time","Salvation Army/Bushwick","Brooklyn","The Salvation Army","(212) 337-7254","High School","1151 Bushwick Avenue",11221,40.689133,-73.917483
