,Unnamed: 0,PROGRAM.TYPE,PROGRAM,SITE.NAME,BOROUGH...COMMUNITY,AGENCY,Contact.Number,Grade.Level...Age.Group,Location.1,Postcode,Latitude,Longitude
425,426,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA SOUTH JAMAICA II HOUSES,Queens,Southern Queens Park Association @South Jamaica II Community Center,(718) 297-7237,6 and up,109 04 160th Street,11433,40.693957,-73.792027
426,427,After-School Programs,Beacon,MS 72,Queens,Child Center of New York ,718.276.7728,6 and up,133 25 Guy R Brewer Boulevard,11434,40.673769,-73.775951
427,428,"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,5224 6th Avenue,11220,40.642482,-74.009477
428,429,After-School Programs,Out of School Time,P.S. 112 BRONXWOOD SCHOOL,Bronx,Phipps Community Development,(718) 654-6377,Elementary,1925 Schieffelin Ave,10466,40.885008,-73.843193
429,430,After-School Programs,Out of School Time,Community Counseling 2,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Elementary,810 Classon Avenue,11238,40.672776,-73.96084599999999
430,431,After-School Programs,Out of School Time,M.S. 210 ELIZABETH BLACKWELL S,Queens,YMCA of Greater New York/Cross Island,(718) 659-7710,Elementary,93 11 101 AVENUE,11416,40.683858,-73.84747
431,432,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 199 MAURICE FITZGERALD SC,Queens,"Sunnyside Community Service, Inc.",(917) 843-7953,OST,39 20 48 AVENUE,11104,40.740088,-73.926214
432,433,After-School Programs,Beacon,PS 176,Queens,Federation Employment Guidance Services Inc. ,718.528.1743,6 and up,120 45 235th Street,11411,40.685491999999996,-73.72998199999999
433,434,After-School Programs,Beacon,IS 5,Queens,"Sunnyside Community Service, Inc. ",718.429.8752,6 and up,50 40 Jacobus Street,11373,40.737718,-73.887429
434,435,"NDA Programs,Senior Programs,Older Adult Program",Seniors,Elmhurst Jackson Heights Senior Center,Queens,The Child Center,(212) 677-4181,Seniors,"75 01
Broadway ",11373,40.746171999999994,-73.890208
435,436,After-School Programs,Teen Action Program,JHS 057 Whitelaw Reid (K057),Brooklyn,Brooklyn Center For Urban Environment,718.788.8500 ext. 207,13 to 21,125 Stuyvesant Avenue,11221,40.691274,-73.933697
437,438,After-School Programs,Out of School Time,P.S. 260 BREUCKELEN SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,875 Williams Avenue,11207,40.654030999999996,-73.89485400000001
438,439,After-School Programs,Out of School Time,PS 25-Eubie Blake (MS),Brooklyn,CAMBA  ,(718) 573-7593,Middle School,787 Lafayette Avenue,11221,40.691037,-73.941342
439,440,"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrats,"Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)",Brooklyn,Goodwill Industries of Greater New York,718- 339-0939 ,Adult,"1416 Avenue
M ",11230,40.617962,-73.960396
440,441,After-School Programs,Out of School Time,P.S./M.S. 75 P.S. 75,Bronx,Episcopal Social Services,(718) 328-5626,Elementary,984 FAILE STREET,10459,40.822719,-73.88943499999999
441,442,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 113 RONALD EDMONDS SCHOOL,Brooklyn,Long Island University,(718) 488-1514,OST,300 Adelphi Street,11205,40.688811,-73.971009
442,443,After-School Programs,Out of School Time,P.S. 102 BAY VIEW SCHOOL,Brooklyn,Heartshare Human Services,(718) 567-2365,Elementary,211 72nd Street,11209,40.63402,-74.029036
443,444,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),P.S. 138,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,760 Prospect Place,11216,40.67438,-73.95144300000001
444,445,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 105 BLYTHEBOURNE SCHOOL,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,1031 59 STREET,11219,40.632936,-74.00374000000001
445,446,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Washington Heights Ecumenical Food Pantry (WHEFP),Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,4111 Broadway,10033,40.845128,-73.938763
446,447,After-School Programs,Out of School Time,Washington Houses,Manhattan,Union Settlement Association,(212) 828-6120,Elementary,1775 Third Avenue,10029,40.786574,-73.94830300000001
447,448,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),718-204-2325 ,14 to 24,"23 16 30th Ave
flr ",11102,40.76916,-73.92625799999999
448,449,After-School Programs,Teen Action Program,HEALTH OPPORTUNITIES HIGH SCHOOL (X670),Bronx,"East Side House, Inc.",718.402.5421,13 to 21,350 Gerard Avenue,10451,40.815938,-73.930386
449,450,"Jobs & Internships,Youth Employment",Summer Youth Employment ,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718-292-3113,14 to 24,555 Bergen Avenue,10455,40.815959,-73.916354
450,451,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,YWCA of Queens,Queens,Manhattanville Houses Senior Center,(718) 353-4553, High School,42 07 Parsons Blvd,11355,40.757857,-73.81907700000001
451,452,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 124 OSMOND A. CHURCH,Queens,South Asian Youth Action,(347) 272-0740,OST,129 15 150 Avenue,11420,40.665058,-73.811701
452,453,After-School Programs,Beacon,MS 210,Queens,YMCA Cross Island,718.659.7710,6 and up,93 11 101st Avenue,11416,40.683858,-73.84747
453,454,After-School Programs,Out of School Time,Apartments,Bronx,New Settlement Apartments,(718) 716-8000,Elementary,1512 Townsend Avenue,10452,40.842478,-73.91491500000001
454,455,Jobs & Internships,Young Adult Internship Program,Good Shepherd Services,Brooklyn,Good Shepherd Services,718.366.7240,16 to 24,82 Wyckoff Avenue,11237,40.70469,-73.919855
455,456,After-School Programs,Out of School Time,Edith & Carl Marks PS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Elementary,7802 Bay Parkway,11214,40.606369,-73.989235
456,457,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,High School,158 40 76th Road,11366,40.724458,-73.810216
457,458,After-School Programs,Out of School Time,P.S. 260 BREUCKELEN SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,875 Williams Avenue,11207,40.654030999999996,-73.89485400000001
458,459,After-School Programs,Out of School Time,Brownsville Community Center,Brooklyn,The Salvation Army ,(718) 345-7050,Elementary,280 Riverdale Avenue,11212,40.661364,-73.906124
459,460,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Bridges Juvenile Center,Bronx,Burnside Avenue Office,(718) 732-7523, High School,1221 Spofford Avenue,10474,40.813893,-73.890566
460,461,After-School Programs,Teen Action Program,South Asian Youth Action (SAYA),Queens,South Asian Youth Action (SAYA!),718.651.3484,13 to 21,54 05 Seabury Street,11373,40.735303,-73.87747399999999
461,462,"After-School Programs,Summer Program,Summer Camp",Out of School Time,School of Science & (X300),Bronx,Good Shepherd Services,(917) 709-1378,OST,2050 PROSPECT AVENUE,10457,40.846236,-73.887405
462,463,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 135 SHELDON BROOKNER SCHOOL,Brooklyn,Episcopal Social Services,(718) 282-3143,Elementary,684 Linden Blvd,11203,40.65364,-73.933114
463,464,"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,CAMBA,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,885 Flatbush Avenue,11226,40.650228999999996,-73.958658
464,465,"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,CAMBA Adult Literacy Center,(718) 377-2900, High School,1550 Coney Island Avenue,11230,40.619517,-73.96418800000001
465,466,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Harlem Temple Community Center,Manhattan,The Salvation Army ,(212) 862-3900,OST,540 Lenox Ave,10037,40.815601,-73.93975400000001
466,467,After-School Programs,Beacon,JHS 45,Manhattan,Supportive Children's Advocacy Network (SCAN),212.722.4090,6 and up,2351 1st Avenue,10035,40.798884,-73.933319
467,468,After-School Programs,Beacon,JHS 275 ,Brooklyn,Police Athletic League (PAL),718.485.2719,6 and up,985 Rockaway Avenue,11212,40.656068,-73.90724499999999
468,469,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 206 JOSEPH F. LAMB S,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,2200 Gravesend Neck Road,11229,40.597369,-73.94894599999999
469,470,After-School Programs,Out of School Time,Progress HS,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,850 Grand Street,11211,40.712184,-73.939722
470,471,After-School Programs,Beacon,PS 503/506,Brooklyn,SCO Family of Services,718.439.5986,6 and up,330 59th Street,11220,40.642121,-74.018997
471,472,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York ,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"49 06 Skillman Avenue
Woodside ",11377,40.74622,-73.915056
472,473,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,High School,23 16 30th Avenue,11102,40.76916,-73.92625799999999
473,474,After-School Programs,Out of School Time,Westinghouse,Brooklyn,"Imani House, Inc.",(718) 638-2059,High School,105 Tech Place,11201,40.694926,-73.98601500000001
474,475,"Immigration Services,Immigrant Support Services",Legal Assistance Program,"Catholic Charities Community Service, Archdiocese of N Y",Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,1011 First Avenue,10022,40.757271,-73.96369200000001
475,476,After-School Programs,Out of School Time,P.S. 189 P.S.  189,Manhattan,"Washington Heights- Inwood Coalition, Inc",(347) 726-8046,Elementary,2580 AMSTERDAM AVENUE,10040,40.852631,-73.927604
476,477,After-School Programs,Out of School Time,PAL New South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,Elementary,991 Longwood Ave,10459,40.817184999999995,-73.897667
477,478,"NDA Programs,Senior Programs,Older Adult Program",Seniors,United Jewish Orgnization of Williamsburg,Brooklyn,BROOKLYN EXCELSIOR CHARTER (K731),(718) 643-9700,Seniors,32 Penn Street,11249,40.700432,-73.961086
478,479,After-School Programs,Beacon,IS 93,Queens,"Greater Ridgewood Youth Council, Inc. ",718.628.8702 ext.12,6 and up,66 56 Forest Avenue,11385,40.706041,-73.90258399999999
480,481,"After-School Programs,Summer Program,Summer Camp",Out of School Time,I.S. 49 BERTHA DREYFUS SCHOOL,Staten Island,"Jewish Community Center of Staten Island, Inc.",(718) 556-1565,Middle School,101 Warren Street,10304,40.620346999999995,-74.081643
481,482,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,"Homecrest Community Services, Inc.",Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adult,"1413 Avenue
T ",11229,40.60102,-73.957543
482,483,After-School Programs,Teen Action Program,I S 238 SUSAN B ANTHONY (Q238),Queens,"Sports and Arts In Schools Foundation, Inc.",347.417.8161,13 to 21,88 15 182 Street,11423,40.713094,-73.780468
483,484,After-School Programs,Out of School Time,IS 72,Queens,The Child Center of New York (QCG) ,(718) 276-7728,Middle School,133 25 Guy R Brewer Boulevard,11434,40.673769,-73.775951
484,485,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 38 PACIFIC SCHOOL,Brooklyn,YMCA of Greater New York/Dodge YMCA,(646) 996-3306,OST,450 PACIFIC STREET,11217,40.685264000000004,-73.982639
485,486,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 153 MASPETH SCHOOL,Queens,"Greater Ridgewood Youth Council, Inc.",(718) 456-5437,OST,60 02 60 LANE,11378,40.716609000000005,-73.903669
486,487,"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Bronx Neighborhood Office, Legal Aid Society",Bronx,The Legal Aid Society,718.991.4758,Adult,953 Southern Blvd,10459,40.82148,-73.891688
487,488,"Jobs & Internships,Youth Employment",Summer Youth Employment ,Helen's House & Youth Center,Manhattan,"Henry Street Settlement, Inc. - Manhattan ",212-254-3100  ,14 to 24,301 Henry Street,10002,40.714054,-73.98279699999999
488,489,After-School Programs,Out of School Time,YMCA-Branch,Bronx,YMCA of Greater New York/Bronx,(718) 792-9736,Elementary,2 Castle Hill Avenue,10473,40.811780999999996,-73.846335
489,490,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,COJO Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush (COJO),718.377.2900,Adult,"1550 Coney Island Avenue
between L and M avenues ",11230,40.619517,-73.96418800000001
490,491,After-School Programs,Out of School Time,I.S. 238 SUSAN B. ANTHONY SCHOOL,Queens,"Sports and Arts In Schools Foundation, Inc.",(718) 297-9821,Middle School,88 15 182nd Street,11423,40.713094,-73.780468
492,493,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 236 MILL BASIN SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 952-0213,Elementary,"6302 AVENUE
U ",11234,40.615998,-73.912989
493,494,"After-School Programs,Summer Program,Summer Camp",Out of School Time,M.S. 210 ELIZABETH BLACKWELL S,Queens,YMCA of Greater New York/Cross Island,(718) 659-7710,OST,93 11 101 AVENUE,11416,40.683858,-73.84747
494,495,"Family Support,NDA Programs",Health Stat Initiative,The Children's Aid Society,Bronx,The Children's Aid Society,718.617.8595,All Ages,1338 Southern Blvd,10459,40.831158,-73.891438
496,497,"After-School Programs,Summer Program,Summer Camp",Out of School Time,Boys To Men,Bronx,Inwood House,(718) 742-8100,OST,522 Courtland Avenue,10451,40.816006,-73.919783
497,498,After-School Programs,Out of School Time,Lafayette HS,Brooklyn,"The Alliance of Guardian Angels, Inc.",(718) 372-3480,High School,2630 Benson Avenue,11214,40.594291,-73.98577
498,499,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Khalil Gibran International Academy,Brooklyn,Jonas Bronck Housing for Seniors,(718) 643-8000,Middle School,50 Navy Street,11201,40.697901,-73.98054
499,500,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,Adult,280 Marcy Avenue,11211,40.705055,-73.955919
500,501,After-School Programs,Out of School Time,I.S. 217 SCHOOL OF PERFORMING,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Elementary,977 Fox Street,10459,40.822443,-73.893902
501,502,"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 5 DR. RONALD MCNAIR SCHOO,Brooklyn,SCO Family of Services,(718) 443-8527,OST,820 HANCOCK STREET,11233,40.685695,-73.922463
502,503,After-School Programs,Beacon,MS 172,Queens,"Samuel Field YM - YWHA, Inc. ",718.347.3279,6 and up,81 14 257th Street,11004,40.741944000000004,-73.712965
503,504,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I S 187 (K187),Brooklyn,Morrisania Air Rights Housing Development,(718) 236-5266,Middle School,1171 65 STREET,11219,40.627784000000005,-74.004485
504,505,"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA TWO BRIDGES U.R.A (SITE 7),Manhattan,YMCA - Chinatown @Two Bridges (URA) Community Center,(212) 385-9352,6 and up,286 South Street,10002,40.710478,-73.986571
505,506,"Family Support,NDA Programs", Housing,Queens Community House,Queens,FAC Center for Community Development,(718) 592-5757,Adults,108 25 62nd Drive,11375,40.73591,-73.850212
506,507,"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,SATELLITE EAST MIDDLE SCHOOL (K301),Brooklyn,The River Project,(212) 652-2812,Middle School,344 MONROE STREET,11216,40.686076,-73.945229
507,508,After-School Programs,Out of School Time,Horizon Center,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,560 Brook Avenue,10455,40.815878000000005,-73.914404
508,509,"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,High School,4004 4th Avenue,11232,40.651977,-74.006862
510,511,After-School Programs,Out of School Time,P.S. 18 JOHN GREENLEAF WHITTIE,Staten Island,"United Activities Unlimited, Inc.",(718) 448-4834,Elementary,221 BROADWAY,10310,40.636587,-74.117509
